时间,动作,用户名,数值,余额,标记
2019-11-17T01:22:19.518,#add_diamond,rita52ryin52,-0.01,0.10849999999999999,tradesub
2019-11-17T01:22:19.518,#add_diamond,525252kemina,0.0095,0.11899999999999997,tradeadd
2019-11-17T01:39:18.535,#add_diamond,kemina333333,-0.01,0.09999999999999998,tradesub
2019-11-17T01:39:18.536,#add_diamond,kemina222222,0.0095,0.09999999999999998,tradeadd
2019-11-17T04:44:27.848,#add_diamond,y,-0.01,0.03899999999999965,tradesub
2019-11-17T04:44:27.849,#add_diamond,ysjysj111yyy,0.0095,0.15689999999999987,tradeadd
2019-11-17T05:17:54.181,#add_diamond,helida123,-0.01,0.3689999999999998,tradesub
2019-11-17T05:17:54.181,#add_diamond,aoeaoe555555,0.0095,0.8189999999999997,tradeadd
2019-11-17T05:17:56.182,#add_diamond,helida123,-0.01,0.35899999999999976,tradesub
2019-11-17T05:17:56.182,#add_diamond,fanwenlong11,0.0095,0.057,tradeadd
2019-11-17T05:18:07.443,#add_diamond,helida123,-0.01,0.34899999999999975,tradesub
2019-11-17T05:18:07.444,#add_diamond,gogogo123,0.0095,0.0095,tradeadd
2019-11-17T05:18:09.697,#add_diamond,helida123,-0.01,0.33899999999999975,tradesub
2019-11-17T05:18:09.698,#add_diamond,mayunbaba123,0.0095,0.6649999999999999,tradeadd
2019-11-17T05:19:26.281,#add_diamond,helida123,-0.01,0.32899999999999974,tradesub
2019-11-17T05:19:26.281,#add_diamond,kissmebaby22,0.0095,0.0095,tradeadd
2019-11-17T05:19:28.782,#add_diamond,helida123,-0.01,0.31899999999999973,tradesub
2019-11-17T05:19:28.783,#add_diamond,poketoneone1,0.0095,0.0095,tradeadd
2019-11-17T05:19:37.289,#add_diamond,helida123,-0.01,0.3089999999999997,tradesub
2019-11-17T05:19:37.289,#add_diamond,12345yes1,0.0095,0,tradeadd
2019-11-17T05:19:39.040,#add_diamond,helida123,-0.01,0.2989999999999997,tradesub
2019-11-17T05:19:39.040,#add_diamond,222111222,0.0095,0.019,tradeadd
2019-11-17T05:19:40.792,#add_diamond,helida123,-0.01,0.2889999999999997,tradesub
2019-11-17T05:19:40.792,#add_diamond,222215512222,0.0095,0.019,tradeadd
2019-11-17T06:08:41.159,#add_diamond,eostoken5552,-0.01,0.10000000000000003,tradesub
2019-11-17T06:08:41.159,#add_diamond,dududemaowu1,0.0095,0.038,tradeadd
2019-11-17T06:08:45.663,#add_diamond,eostoken5552,-0.01,0.09000000000000004,tradesub
2019-11-17T06:08:45.663,#add_diamond,ysjysj111yyy,0.0095,0.16639999999999988,tradeadd
2019-11-17T06:09:58.735,#add_diamond,eostoken5552,-0.01,0.08000000000000004,tradesub
2019-11-17T06:09:58.735,#add_diamond,kemina111111,0.0095,0.10949999999999997,tradeadd
2019-11-17T06:10:05.240,#add_diamond,eostoken5552,-0.01,0.07000000000000005,tradesub
2019-11-17T06:10:05.240,#add_diamond,kemina333333,0.0095,0.08999999999999998,tradeadd
2019-11-17T06:12:34.259,#add_diamond,eostoken5552,-0.01,0.060000000000000046,tradesub
2019-11-17T06:12:34.259,#add_diamond,kemina525252,0.0095,0.09999999999999998,tradeadd
2019-11-17T08:37:57.793,#add_diamond,eostoken5552,-0.01,0.050000000000000044,tradesub
2019-11-17T08:37:57.793,#add_diamond,uthdx3ssjphp,0.0095,0.016999999999999987,tradeadd
2019-11-17T08:59:39.086,#add_diamond,kcb425315234,0.9,0,exchange
2019-11-17T09:03:28.662,#add_diamond,kcb425315234,-0.9,0.9,shop
2019-11-17T09:08:17.917,#add_diamond,falwlrgw1,-0.01,0.08399999999999999,tradesub
2019-11-17T09:08:17.917,#add_diamond,mengmeng5,0.0095,0.027999999999999997,tradeadd
2019-11-17T09:54:17.044,#add_diamond,fenghuo11111,-0.05,25.8474,tradesub
2019-11-17T09:54:17.045,#add_diamond,fenghuo11115,0.0475,0.7999000000000009,tradeadd
2019-11-17T09:54:39.814,#add_diamond,fenghuo11111,-0.05,25.7974,tradesub
2019-11-17T09:54:39.814,#add_diamond,fenghuo11115,0.0475,0.8474000000000009,tradeadd
2019-11-17T09:55:39.869,#add_diamond,fenghuo11111,-0.05,25.7474,tradesub
